Tara,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12
Austria,0.8099304368430419,0.012691551919481958,0.08884607707591521,0.012019180281053228,0.0022411938896051897,0.012584689042683951,0.03208983275090883,0.005425109843444708,0.0032413626850973125,0.020128642361193355,0.0007893742546441752,1.2549052930171779e-05
Belgia,0.7642241571483315,0.011133698532120073,0.0844028131975874,0.01678648795565885,0.06050432368322644,0.0175733159939553,0.03164059731422136,0.0006231958610030449,0.0004920071381445383,0.004720548070891325,0.007149031294990314,0.0007498238098698577
Bulgaria,0.7428960647549947,0.01857702324142235,0.009866451826735265,0.006650822550959577,0.04024796292748836,0.1320726688420185,0.037835621644458146,0.0010518760590743574,0.0011613003036288743,4.9530359672070584e-05,0.00850726421595758,0.0010834132735903863
Croatia,0.3073200295128995,0.008553208304748516,0.024797062237400868,0.38905046049618724,0.0033312749556724435,0.08285650192117885,0.1129437747878877,0.05064354566125344,0.00010617302259058789,0.005437426823090168,0.013823369116516042,0.0011371731605749088
Cipru,0.0003216337889366755,0.004416917153866831,0.5260887111684844,0.07786344796336214,0.18910554451422287,0.07136407321593284,0.07178234492315853,0.013252333811831642,0.04472560303528257,0.0009662413912291639,0.00011138818031985815,1.7608533724380168e-06
Cehia,0.049046762705420174,0.09224339065067821,0.6571129346181105,0.11738815858033179,0.03423428249096815,7.704870694633142e-05,0.020313128163013776,0.027789611223417623,8.663882732092075e-06,0.0003931750461109165,0.0012301120423455541,0.0001627318899247713
Danemarca,0.876919758519849,0.004750623775894637,0.01690845893360025,0.019616505176225457,0.011536706339066463,0.015003625162024475,0.028994444607433372,0.0005884018870151655,0.0026298470014598408,0.0022134911981361747,0.020344682047251574,0.0004934553520435486
Estonia,0.16357544681881628,0.4183126468460355,0.0004059064026847868,0.05631854785729437,0.1501557487411218,0.004861564392520224,0.022764260477323307,8.608340520799352e-05,0.009779373375664773,0.10707948322154859,0.06561361333257376,0.001047325129208555
Finlanda,0.650963099072238,0.0307447050694803,0.03620316925023848,0.04861146069009087,0.118694123524745,0.002255012444907947,0.006365442279012961,0.09175102639632328,0.007597462911069673,0.004125354386701309,0.0024224817551287644,0.00026666222006347285
Franta,0.6371478699662914,0.00865085626389493,0.030970948685367972,0.04563919075601361,0.0007601123070003001,0.009979719349066276,0.0018147816300699852,0.09970787387979398,0.007180758486327168,0.150465397669739,0.0012799052393235538,0.006402585767111909
Germania,0.5059779101198125,0.009978143088309528,0.11986546579176688,0.18719276650363803,0.0012741451588526782,0.003908812518139694,0.1243056541027963,0.021894052585561794,0.01127052428292112,0.004524177382754501,0.00949498989511686,0.0003133585703299983
Grecia,0.2198722514685802,0.12138223197972939,0.22154668642211137,0.3362933949475935,0.02493761176395614,0.052275791436746565,0.010298589452101109,0.005621518054984755,0.001196181628352165,0.0009479050918680295,0.004961599058365803,0.0006662386956108748
Ungaria,0.4185182716159041,0.008551646875735805,0.05885076342336129,0.07006901271588252,0.3645330071776133,0.005149640096982821,0.016485040209894282,0.01744864899433088,0.006522078008695737,0.015526899513204663,0.018341855793728767,3.135574666055945e-06
Irlanda,0.34704538739325175,0.004274789735936513,0.036084153195753296,0.02754493185383075,0.036779797760760104,0.13814434087776276,0.061391478248502364,0.05878201306577175,0.280611582875921,0.002677749727748047,0.006196339227990991,0.0004674360367708922
Italia,0.07145417929679078,0.5401935472006834,0.09978383926472133,0.09475163250820262,0.019845903615118024,0.06536123324114196,0.004132504191935635,0.04787741480705599,0.005997642482384852,0.0486431498092292,0.0012126430215130132,0.0007463105612234581
Letonia,0.22074332985671843,0.6457158393172836,0.02132575953925839,0.04083354448904905,0.0009164028541776187,0.04123735018444474,0.007487413554452949,0.005972094226841854,0.00039924194322269574,0.01472735932070163,0.00048604656767736824,0.00015561814617166445
Lituania,0.12183531486859832,0.8404562439098305,0.001989142410152507,5.616317565845127e-05,0.0074994719865746256,0.010115662193057956,0.008120279470992071,0.004134769957750636,0.001718602885611267,0.001745174885873738,0.0018489685341336994,0.0004802057217659988
Luxemburg,0.7537094273082959,8.57925570567586e-05,0.018413231384850175,1.307324934754611e-07,0.002688980696867165,0.00010123215690027569,0.03646245105350077,0.07383342250533426,0.10923186021492765,0.0008008653999524214,0.0021152791888106657,0.0025573268010104923
Malta,0.07740408131978224,0.510554407465635,0.07234307444003893,0.16179112523046432,0.03048204527443012,0.007000424312811502,0.10335901723038518,0.018227872295113252,0.00025689566654123197,0.004374516021399551,0.013375390031314981,0.0008311507120837912
Olanda,0.6485793127269158,0.00037748364612017805,0.018576003439871598,0.08332241360242316,0.00952876851879838,0.09834837543866558,0.010790717351214162,3.875043876841698e-05,0.10246308212276173,0.027233691051947617,0.0007414016463799466,1.6133421453843268e-11
Polonia,0.4235576422030771,0.0072202816995911735,0.2442923935989336,0.19393375486718742,0.0025209399094994756,0.04426129067703313,0.012679154613446268,0.04840389967482609,0.005500518051358293,0.008558788318864561,0.009051230862507767,2.0105523674960446e-05
Portugalia,0.18592717058075078,0.01846539604197283,0.26520597862783024,0.039771190397497214,0.3239354003675885,0.015221243757843863,0.09973717074738735,0.01440067804554931,0.032682650028626546,0.00021872100673023614,0.0034465855304333425,0.0009878148677896687
Romania,0.7392021535336218,0.0396655754850278,0.020303381450400712,0.1353009796909903,0.027050054170539385,0.007299055412511491,0.005156092652806388,0.021030912937928643,4.472666168354291e-05,3.445345645589901e-06,0.004740912757695983,0.00020270990114822592
Slovacia,0.20469263783979424,0.03425555194031945,0.441160390479757,0.20372176812968962,0.008527245062368724,0.048531755232743695,0.0009223965469675657,0.035362944643978024,0.0019296191406091682,0.00037333487587524566,0.02046980667674693,5.254943115028198e-05
Slovenia,0.00015948894270489698,0.00710792311490826,0.0018737071980910263,0.20817265248691907,0.6466864422247965,0.06992716059528566,0.026669978500186584,0.00267484765382745,7.866603809627708e-06,0.00018184164577540512,0.03566975063955213,0.0008683403941432552
Spania,0.021098665111012486,0.15297841250738112,0.559858870773427,0.01347877099265074,0.13759032539048358,0.0005385399341263371,0.01751584017057628,0.07221521148363799,0.00012998695326758584,0.023832741825986777,0.00012066338013917268,0.0006419714773108876
Suedia,0.742538357531448,0.0217630469941193,0.002474421175991409,0.008992949237906743,0.14290059195023516,0.029484565476024356,0.019106679131538698,7.874086378023559e-07,0.010895088734945633,0.009463686808947248,0.009223237483683288,0.003156588066522179
Marea Britanie,0.6695661472184085,0.0006789096209331237,0.002539881580192043,0.10469928234818585,0.00431090403259654,0.05559171408242464,0.08860493172934436,0.0001730241188730434,0.012530914368100223,0.04656998613711218,0.002276389313459181,0.012457915450370421
