Tara,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12
Austria,0.9680250174577935,-0.18324149789816563,-0.5777106737917089,-0.24338019609195138,-0.12356655082288635,-0.4040697611687835,-0.692450135227469,0.31977145654453787,0.26670844133630517,-0.8893895171200743,0.22252894178013605,-0.07791307117344903
Belgia,0.6918522343056558,0.12627763581143478,0.41429526529036576,0.21162549123800006,0.47238343549923645,-0.35131946384298607,0.5059031226264364,0.07974215222081886,0.07645376807089616,-0.3168992580975748,-0.4927298449127815,-0.44312342328058935
Bulgaria,-1.6411361189039504,0.3924392016736244,-0.340792176893611,0.32048178127159815,-0.9269387009593355,-2.3171782154070355,-1.3309847149122669,0.2492502289889389,-0.2825940870802317,0.07809772065989021,-1.293176601176555,1.2815034440115372
Croatia,-0.7501673511886884,0.1892478684982827,-0.3839647748222414,-1.7420105594660762,-0.18952497743145522,1.3043628105719964,-1.634315619187827,1.2291290510627293,0.06072675046163958,0.5815425300305418,1.1715261325389648,0.9330784365908821
Cipru,0.023690318483267785,0.1327557800995223,1.7264265219992214,-0.7607500193986179,1.3939291010913324,-1.181686478122128,1.2718647846959332,-0.613774660899784,-1.2166856732551279,-0.2393067384682329,0.10265779289099085,0.035842128236685505
Cehia,-0.34250369002159214,-0.7102830595334882,-2.258960469329228,-1.0935970166112587,0.6943671780794597,-0.04545850443850889,0.7921192027755313,-1.0405765209763629,0.01982561141630747,-0.17872079905053365,0.3994061231398652,-0.40340245977476635
Danemarca,1.6647433459573622,0.18528762959934783,-0.4165315624171669,0.5138818383842144,0.46334743889178603,0.7291852040689106,-1.0878444822263926,0.17405122896286582,-0.39704783044249264,0.4874480111338866,-1.8671324023242,0.807483057017768
Estonia,-0.42814226695324226,1.0353407089686473,0.03843001372074712,0.5184893752627155,-0.9954020172132217,-0.24716641188445543,0.5739814751288979,0.0396425398573109,0.45592644837330104,2.0188507944345906,1.996679350523885,0.7005061224858157
Finlanda,1.299313294223796,0.4269967887720028,-0.5521251548530249,-0.7328078668817507,-1.3463215382909073,-0.2560840640245873,-0.46173420203445886,-1.9688556137660322,0.611336346277439,-0.6028209972980568,-0.5836443109750684,-0.5377229453557383
Franta,0.6911894792374429,-0.12178962572733416,0.2745887863352111,-0.38179572343438833,-0.05793144632816797,-0.2896733557179867,-0.13256572300264047,-1.1036069706492173,-0.3195746980408958,-1.9575702807053192,-0.22811204193368922,1.4167617737585216
Germania,0.7599167253501576,-0.16137224280568177,-0.6664626343040644,0.9539593011316349,-0.092535455462714,0.22366345541350463,-1.3535918244408134,0.6380225213530124,0.49394945454992706,-0.41878592793218733,0.7665311012275,-0.3866901771431828
Grecia,-0.9759340623186682,-1.0965200327775029,1.7652102303646557,-2.4910332458097812,-0.7975559916291025,1.5935216114091637,0.7590426747565476,0.6298465794158412,0.3135046986951964,0.37345625311047204,-1.079514300830557,-1.0984804138299136
Ungaria,-1.0094973155837301,0.21821097157351235,-0.6821070673851212,0.8525032564795872,2.2862034403107705,0.37498058376297083,0.72000418131557,-0.831958313441759,0.5488468516110339,1.1332151479920098,-1.556151574944631,0.05650002722750145
Irlanda,0.7018395553874605,-0.1177892966353228,0.40778524160010704,-0.4080850122595099,-0.5544314522802148,-1.4828036192423288,1.0608178154262116,1.1658418372275274,-2.7485758458964225,-0.3592954670210958,-0.6905491552176115,0.5266813320622411
Italia,-0.4219217697202065,-1.7542704944877872,0.898414521934036,1.0027589748252623,0.5395752780740034,1.3512964021269989,-0.36464211264312785,1.3939787979296379,-0.5323761967017181,-2.02885497456549,0.40473140507583577,-0.8816983679458213
Letonia,-1.0361056824787718,2.679691059104208,0.580284615624235,0.9197163166753225,-0.16199513248316755,1.4996089417634906,0.6857538077390133,-0.6878540399615859,0.19190600611598174,-1.5597131922485477,-0.35799874449321417,0.562512925699901
Lituania,-0.7223941959108354,2.8691215896933167,0.16632178352856722,0.03201095064252007,-0.43491209385757534,0.6970391910892055,0.6702166264373886,0.5371381943204119,-0.37366777601696044,-0.5038823816669648,0.6552917730412775,-0.9273495060880562
Luxemburg,1.7125290551140306,-0.02762895935231152,0.482313615622912,-0.0014720170413161067,0.24821516122343978,0.06646111225184492,1.3536330850125742,2.1633918081115846,2.839362653096233,0.3253402406531773,-0.6680394742766269,2.0397231110794825
Malta,-0.5258571186717751,-2.0422579181148697,-0.9160366501622146,1.5690914847967423,-0.8007673681959155,0.5295663663629169,2.1837457315506046,-1.029974616313803,0.13193938102658617,-0.7285726700154643,1.6096125782072555,1.1142120337641173
Olanda,1.4645094304772186,0.0534273266226715,-0.44659649458665124,1.0833695828563474,0.4307521986594047,1.909706414526614,-0.6788562820101522,0.045690051180245515,-2.535155249896412,1.7489843478527853,0.3646025501996499,0.00014935370233731202
Polonia,-0.8094281061058337,-0.15980958986906107,-1.1076576055046292,-1.1304043320516104,0.15153109245857274,-0.8762064414433548,0.5032794813693806,1.1044216241660931,-0.4017297944272647,0.6705793959572119,0.8712807984204276,-0.11403071328761999
Portugalia,-0.6369998498529801,-0.30356448433148897,1.370844193820128,0.6080471896159589,2.040307346822044,-0.6103308962294078,-1.6766348085465868,-0.7155369676853726,1.1631527651807179,-0.1273313052859557,0.6386232600615159,-0.9493968924818892
Romania,-1.9861762523372137,-0.6957397223584209,-0.5931286498254242,1.753766356479554,-0.9219741205710089,-0.6609093389694608,-0.5961267164469994,1.3521906912558712,0.0672867638366849,-0.02499048100883666,-1.171249604932127,-0.6725363785059562
Slovacia,-0.621995668991717,-0.38477378949901675,-1.6453680032541065,-1.280678322196856,-0.30806269427878663,1.0141953937101822,-0.15005039389838934,-1.0434776843874878,0.2630160640745607,0.1548130524374646,-1.4483563317602561,-0.20378038840749782
Slovenia,-0.013558679205951486,0.13687596792906437,0.08373971927687412,-1.0109950394477596,2.0950648091709816,-0.9507086124717608,-0.6300942046240845,-0.2241167561149352,-0.013114627542099175,0.08437636582388353,1.4930846655682954,0.6469030891860554
Spania,-0.2585148471208804,-1.0526326163572053,2.399528017277262,0.4264501183117595,-1.6019554640606755,0.1383054655406305,-0.8464777449338691,-1.9303899631938553,0.08837269705848817,1.601279149509064,0.1439554287118723,0.9220574783003526
Suedia,1.233491518361137,0.3193304386007427,-0.1283045550380091,-0.28016435694558006,-1.3130831335913953,-0.8230883828876852,-0.7110684057934524,0.005126837050723661,0.6507322531713519,-0.8115755297052306,1.0122801460245812,-1.6444769972784365
Marea Britanie,0.9692330010106931,0.04667036280129567,0.10756394577286625,0.7910216896652328,-0.18871834282449312,-0.9352094067479851,1.2670753810944595,0.06288650774208772,0.5774748249470583,1.4897265105945992,-0.41613765963488564,-2.7033125785702143
